entity_type,id,name,status,campaign_id,adgroup_id,objective_type,budget,create_time,modify_time
campaign,1854723855605938,#1. Traffic_손채리마켓_본마켓_260127-0131,DISABLE,1854723855605938,,WEB_CONVERSIONS,150,2026-01-19 06:01:57,2026-02-02 03:23:04
campaign,1854723183587362,#0.Reach_손채리마켓_본마켓_260127-0131,DISABLE,1854723183587362,,REACH,150,2026-01-19 06:06:53,2026-02-02 03:23:05
campaign,1854723021440033,#1. Traffic_손채리마켓_티징_260123-0126,DISABLE,1854723021440033,,WEB_CONVERSIONS,100,2026-01-19 05:53:50,2026-01-28 01:01:20
campaign,1854712195888337,#0.Reach_손채리마켓_티징_260123-0126,DISABLE,1854712195888337,,REACH,100,2026-01-19 05:55:58,2026-01-28 01:01:24
