date,ad_id,spend_usd,spend_krw,impressions,clicks,conversions,attributed_revenue_usd,attributed_revenue_krw,roas
2026-01-27 00:00:00,1854723183588354,63.76,,20852,41,0,0,,0
2026-02-07 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-01-27 00:00:00,1854723859013778,5.73,,731,12,0,0,,0
2026-01-28 00:00:00,1854712312479905,0,,0,0,0,0,,
2026-02-02 00:00:00,1854724100149617,0,,0,0,0,0,,
2026-02-02 00:00:00,1854723336904753,0,,0,0,0,0,,
2026-02-02 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-09 00:00:00,1854723183588354,0,,0,0,0,0,,
2026-01-25 00:00:00,1854723336904737,0,,2,0,0,0,,
2026-02-04 00:00:00,1854724089058577,0,,0,0,0,0,,
2026-02-03 00:00:00,1854723859013778,0,,0,0,0,0,,
2026-01-29 00:00:00,1854712369545346,0,,0,0,0,0,,
2026-02-02 00:00:00,1854723183588354,0,,0,0,0,0,,
2026-02-01 00:00:00,1854723336904753,0,,0,0,0,0,,
2026-02-01 00:00:00,1854724100149617,0,,0,0,0,0,,
2026-01-25 00:00:00,1854723336904753,0,,20,0,0,0,,
2026-02-10 00:00:00,1854723183588354,0,,0,0,0,0,,
2026-02-03 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-01 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-01-29 00:00:00,1854712312479905,0,,0,0,0,0,,
2026-01-26 00:00:00,1854723336904737,0,,6,0,0,0,,
2026-01-29 00:00:00,1854724089058577,27.39,,14247,18,0,0,,0
2026-02-03 00:00:00,1854723183588354,0,,0,0,0,0,,
2026-01-23 00:00:00,1854712369545346,47.6,,28982,45,0,0,,0
2026-01-27 00:00:00,1854723859013762,132.75,,15535,276,0,0,,0
2026-02-08 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-02-02 00:00:00,1854723859013778,0,,0,0,0,0,,
2026-03-06 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-01 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-24 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-19 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-14 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-16 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-11 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-17 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-02-21 00:00:00,1854724089058577,0,,0,0,0,0,,
2026-03-09 00:00:00,1854724100149617,0,,0,0,0,0,,
2026-03-04 00:00:00,1854723336904753,0,,0,0,0,0,,
2026-02-17 00:00:00,1854723336904753,0,,0,0,0,0,,
2026-03-09 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-04 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-27 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-22 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-17 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-06 00:00:00,1854724089058577,0,,0,0,0,0,,
2026-02-19 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-02-28 00:00:00,1854723859013778,0,,0,0,0,0,,
2026-02-15 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-22 00:00:00,1854723183588354,0,,0,0,0,0,,
2026-03-02 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-25 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-20 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-23 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-18 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-15 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-10 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-28 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-22 00:00:00,1854724089058577,0,,0,0,0,0,,
