source,panel,row_count,coverage_start,coverage_end,coverage_days,note
TikTok Business,Overview,179,2026-01-23,2026-05-16,65,
TikTok Business,No-row periods,,,,,2024-01-01 through 2026-01-13 returned OK with zero performance rows. Rows appear from 2026-01-14 through 2026-05-17.
