entity_type,id,name,status,campaign_id,adgroup_id,objective_type,budget,create_time,modify_time
adgroup,1854723855605938,#1. Traffic_손채리마켓_본마켓_260127-0131,ENABLE,1854723855605938,1854723855607810,,,2026-01-19 06:01:57,2026-02-01 06:02:39
adgroup,1854723183587362,#0.Reach_손채리마켓_본마켓_260127-0131,ENABLE,1854723183587362,1854723183587378,,,2026-01-19 06:06:53,2026-02-01 09:33:57
adgroup,1854723021440033,#1. Traffic_손채리마켓_티징_260123-0126,ENABLE,1854723021440033,1854723020170289,,,2026-01-19 05:53:51,2026-01-27 02:57:06
adgroup,1854712195888337,#0.Reach_손채리마켓_티징_260123-0126,ENABLE,1854712195888337,1854712264657026,,,2026-01-19 05:55:58,2026-01-27 02:57:04
