brand_id,entity_type,entity_id,parent_adgroup_id,name,status,campaign_type,daily_budget_krw,created_at,updated_at
morandypark,ad,grp-a001-01-000000068089276,grp-a001-01-000000068089276,nad-a001-01-000000532933781,ELIGIBLE,,0,2026-06-02T10:54:34.000Z,2026-06-02T10:54:36.000Z
morandypark,ad,grp-a001-02-000000059131480,grp-a001-02-000000059131480,nad-a001-02-000000492801458,ELIGIBLE,,0,2026-03-20T05:38:28.000Z,2026-04-07T10:40:39.000Z
morandypark,ad,grp-a001-02-000000059132087,grp-a001-02-000000059132087,nad-a001-02-000000450141906,ELIGIBLE,,0,2025-12-16T08:26:58.000Z,2026-06-02T06:23:56.000Z
morandypark,ad,grp-a001-02-000000059501854,grp-a001-02-000000059501854,nad-a001-02-000000452651721,ELIGIBLE,,0,2025-12-23T02:24:49.000Z,2026-05-31T02:36:55.000Z
morandypark,ad,grp-a001-02-000000059502390,grp-a001-02-000000059502390,nad-a001-02-000000452652105,ELIGIBLE,,0,2025-12-23T02:26:28.000Z,2026-05-31T02:36:55.000Z
morandypark,ad,grp-a001-02-000000059502450,grp-a001-02-000000059502450,nad-a001-02-000000452652296,ELIGIBLE,,0,2025-12-23T02:27:07.000Z,2026-05-31T02:36:55.000Z
morandypark,ad,grp-a001-02-000000059503070,grp-a001-02-000000059503070,nad-a001-02-000000452706920,ELIGIBLE,,0,2025-12-23T04:58:06.000Z,2026-05-26T01:35:00.000Z
morandypark,ad,grp-a001-02-000000059825254,grp-a001-02-000000059825254,nad-a001-02-000000455026719,ELIGIBLE,,0,2025-12-30T05:22:09.000Z,2026-06-02T06:22:58.000Z
morandypark,ad,grp-a001-02-000000059825371,grp-a001-02-000000059825371,nad-a001-02-000000455026817,ELIGIBLE,,0,2025-12-30T05:22:25.000Z,2026-06-02T06:23:56.000Z
morandypark,ad,grp-a001-02-000000064296290,grp-a001-02-000000064296290,nad-a001-02-000000492798438,ELIGIBLE,,0,2026-03-20T05:31:45.000Z,2026-05-31T02:36:55.000Z
morandypark,ad,grp-a001-02-000000064296383,grp-a001-02-000000064296383,nad-a001-02-000000492798830,ELIGIBLE,,0,2026-03-20T05:32:44.000Z,2026-03-26T06:17:25.000Z
morandypark,ad,grp-a001-02-000000064296562,grp-a001-02-000000064296562,nad-a001-02-000000492798088,ELIGIBLE,,0,2026-03-20T05:30:52.000Z,2026-06-02T06:22:58.000Z
morandypark,ad,grp-a001-02-000000064297667,grp-a001-02-000000064297667,nad-a001-02-000000492803347,ELIGIBLE,,0,2026-03-20T05:43:31.000Z,2026-04-17T04:54:19.000Z
morandypark,ad,grp-a001-02-000000064297897,grp-a001-02-000000064297897,nad-a001-02-000000503582030,ELIGIBLE,,0,2026-04-10T06:09:01.000Z,2026-06-02T06:23:54.000Z
morandypark,ad,grp-a001-02-000000064297930,grp-a001-02-000000064297930,nad-a001-02-000000492806023,ELIGIBLE,,0,2026-03-20T05:49:34.000Z,2026-06-02T06:23:56.000Z
morandypark,ad,grp-a001-02-000000064298302,grp-a001-02-000000064298302,nad-a001-02-000000492806969,ELIGIBLE,,0,2026-03-20T05:50:59.000Z,2026-04-09T05:04:26.000Z
morandypark,ad,grp-a001-02-000000064298364,grp-a001-02-000000064298364,nad-a001-02-000000492807238,ELIGIBLE,,0,2026-03-20T05:52:03.000Z,2026-06-02T06:23:56.000Z
morandypark,ad,grp-a001-02-000000067417777,grp-a001-02-000000067417777,nad-a001-02-000000526993575,ELIGIBLE,,0,2026-05-21T07:57:38.000Z,2026-06-02T06:23:54.000Z
morandypark,ad,grp-a001-02-000000067417778,grp-a001-02-000000067417778,nad-a001-02-000000527003834,ELIGIBLE,,0,2026-05-21T08:12:57.000Z,2026-05-21T08:27:35.000Z
morandypark,ad,grp-a001-02-000000067417805,grp-a001-02-000000067417805,nad-a001-02-000000527008218,ELIGIBLE,,0,2026-05-21T08:19:44.000Z,2026-06-02T06:22:55.000Z
morandypark,ad,grp-a001-02-000000067418186,grp-a001-02-000000067418186,nad-a001-02-000000527000480,ELIGIBLE,,0,2026-05-21T08:07:22.000Z,2026-06-05T08:25:37.000Z
