customer_id,customer_name,key,spend_krw,attributed_revenue_krw,impressions,clicks,conversions,row_count,ctr,cpc_krw,cpm_krw,roas
4988024901,엔트로피,,43077159,178873294,17806667,166483,17488.97,626,0.009349475676722657,258.74809421539135,2419.1590132651436,4.152393014767764
6907773654,엔트로피 메이크업_글로벌,,73675146,70795412,1794482,38967,14520.39,757,0.021714901570481063,1890.7061249019707,41056.49740095197,0.9609130896836886
1742845337,MorandiPark_kr,,2298879,38500,460046,5293,1,25,0.011505371202010234,434.324390931041,4997.0633397486345,0.016747292910995637
