date,customer_id,campaign_id,campaign_name,ad_group_id,ad_group_name,ad_group_status,spend_krw,impressions,clicks,conversions,attributed_revenue_krw
2025-05-02,4988024901,22485353016,250428_래쉬펌_디멘드젠,176577870377,250428_래쉬펌_디멘드젠,ENABLED,30815,15246,67,12,442795
2025-05-03,4988024901,22485353016,250428_래쉬펌_디멘드젠,176577870377,250428_래쉬펌_디멘드젠,ENABLED,31137,13630,101,1,36936
2025-05-04,4988024901,22485353016,250428_래쉬펌_디멘드젠,176577870377,250428_래쉬펌_디멘드젠,ENABLED,30614,10953,64,1,36897
2025-05-05,4988024901,22485353016,250428_래쉬펌_디멘드젠,176577870377,250428_래쉬펌_디멘드젠,ENABLED,8998,5173,23,1,36860
2025-03-18,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,26925,2644,34,0,0
2025-03-19,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,187277,28464,494,30,1130843
2025-03-20,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,60753,8883,206,4,152868
2025-03-21,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,100057,18282,347,16,604647
2025-03-22,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,70131,14894,319,17.01,639460
2025-03-23,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,150206,28729,571,11.01,416965
2025-03-24,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,60065,13110,182,8,381786
2025-03-25,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,37085,6062,144,5,238250
2025-04-07,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,40345,23077,306,10,376132
2025-04-08,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,79701,40513,640,30,1128038
2025-04-09,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,171611,79260,1063,59.01,2237905
2025-04-10,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,150076,76963,1127,59.01,2448363
2025-04-11,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,50072,30868,348,8,338407
2025-04-12,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,70183,56859,748,32,1338610
2025-04-13,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,42107,30359,428,19,798792
2025-04-14,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,31524,25967,292,10,448000
2025-04-15,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,44084,33260,405,8,362400
2025-04-16,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,55082,32899,307,7.01,246935
2025-04-17,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,200087,114776,1349,78,2738318
2025-04-18,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,50732,29554,285,9.02,329964
2025-04-19,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,80770,46331,598,27,951803
2025-04-20,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,30050,19194,284,2,70500
2025-04-21,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,118833,52506,638,23.51,871169
2025-04-22,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,99347,41479,540,13.5,475857
2025-04-23,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,40263,10747,216,10,352500
2025-04-24,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,50156,13219,256,12,422988
2025-04-25,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,223798,70255,1058,57.4,2129228
2025-04-26,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,50197,26700,325,18.02,665024
2025-04-27,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,15874,8390,102,6,224400
2025-04-28,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,246380,131438,972,38.99,1445910
2025-04-29,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,30316,18411,163,4,147600
2025-04-30,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,37656,19029,195,4,154000
2025-05-01,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,50194,25075,333,26,964697
2025-05-02,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,70293,46911,375,23,848700
2025-05-03,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,73263,45364,471,18.5,682645
2025-05-04,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,50187,30520,283,18.5,682686
2025-05-05,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,23811,13622,163,6,221333
2025-08-13,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,30726,8574,62,1,36900
2025-08-14,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,300330,125724,1364,44.28,1631467
2025-08-15,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,418754,179353,2086,81.03,3020842
2025-08-16,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,66037,19127,249,11.98,441889
2025-08-18,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,57019,15477,132,4,147710
2025-08-19,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,56084,16656,198,11,405900
2025-08-20,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,52386,17681,201,8,295122
2025-08-21,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,103016,34096,338,11,405900
2025-08-22,4988024901,22344771495,250318_래쉬펌_디멘드젠 캠페인,176784261539,250318_래쉬펌_영상_디멘드젠캠페인,ENABLED,200050,65542,676,30.07,1109601
